task,model,source,lang,lpr,wpr
monolingual,llama-2-instruct,okapi,pt,0.85,
monolingual,llama-2-instruct,okapi,vi,0.17,
monolingual,llama-2-instruct,okapi,zh,0.03,1.0
monolingual,llama-2-instruct,aya_human_annotated,all,0.5,0.94
monolingual,llama-2-instruct,dolly_human_edited,all,0.55,0.98
monolingual,llama-2-instruct,native_prompts,all,0.49,1.0
monolingual,llama-2-instruct,okapi,all,0.57,1.0
monolingual,llama-2-instruct,all,ar,0.0033,1.0
monolingual,llama-2-instruct,all,en,0.99,
monolingual,llama-2-instruct,all,pt,0.91,
monolingual,llama-2-instruct,all,tr,0.33,
monolingual,llama-2-instruct,all,zh,0.11,0.94
monolingual,llama-2-instruct,all,es,0.96,
monolingual,llama-2-instruct,all,fr,0.88,
monolingual,llama-2-instruct,all,hi,0.01,1.0
monolingual,llama-2-instruct,all,ru,0.89,0.93
monolingual,llama-2-instruct,all,ja,0.07,1.0
monolingual,llama-2-instruct,all,ko,0.0,1.0
monolingual,llama-2-instruct,all,de,0.59,
monolingual,llama-2-instruct,all,id,0.62,
monolingual,llama-2-instruct,all,it,0.72,
monolingual,llama-2-instruct,all,vi,0.17,
monolingual,llama-2-instruct,all,all,0.48,0.98
crosslingual,command-r-base,complex_prompts,ar,0.0,1.0
crosslingual,command-r-base,complex_prompts,de,0.026,
crosslingual,command-r-base,complex_prompts,es,0.036,
crosslingual,command-r-base,complex_prompts,fr,0.0,
crosslingual,command-r-base,complex_prompts,hi,0.013,1.0
crosslingual,command-r-base,complex_prompts,id,0.013,
crosslingual,command-r-base,complex_prompts,it,0.027,
crosslingual,command-r-base,complex_prompts,ja,0.012,1.0
crosslingual,command-r-base,complex_prompts,ko,0.0,1.0
crosslingual,command-r-base,complex_prompts,pt,0.039,
crosslingual,command-r-base,complex_prompts,ru,0.0,1.0
crosslingual,command-r-base,complex_prompts,tr,0.0,
crosslingual,command-r-base,complex_prompts,vi,0.0,
crosslingual,command-r-base,complex_prompts,zh,0.049,1.0
crosslingual,command-r-base,okapi,ar,0.0,1.0
crosslingual,command-r-base,okapi,de,0.0,
crosslingual,command-r-base,okapi,es,0.0,
